Frequency_Hz,Primary_Turns_Np,Flux_Loss_Pct,Wire_Gauge_AWG,Peak_Current_A,Uncomp_Voltage_Peak_V,Resonant_Voltage_Peak_V,Capacitor_Value_F,Capacitor_Voltage_Peak_V
10000,100,95.0,20,0.22391675879032485,50.00066466941612,0.25781269053626593,7.127491800519168e-08,49.99999999999996
10000,100,95.0,24,0.20490781881940484,50.003556766699795,0.5963969488294333,6.522418448657361e-08,49.99999999999996
10000,100,95.0,28,0.18881001538506523,50.01953720121901,1.3978919214796626,6.010009450757994e-08,49.99999999999994
10000,100,95.0,34,0.169093823965802,50.25010728424645,5.007322845421742,5.3824235860936416e-08,49.99999999999996
10000,100,99.0,20,1.1195837939516242,250.0033233470806,1.2890634526813296,7.127491800519168e-08,249.99999999999977
10000,100,99.0,24,1.0245390940970243,250.01778383349898,2.9819847441471667,6.522418448657361e-08,249.99999999999977
10000,100,99.0,28,0.9440500769253262,250.09768600609505,6.989459607398312,6.010009450757994e-08,249.99999999999974
10000,100,99.0,34,0.8454691198290099,251.2505364212322,25.036614227108704,5.3824235860936416e-08,249.99999999999974
10000,100,99.9,20,11.195837939517485,2500.0332334710833,12.890634526814726,7.127491800519168e-08,2500.0000000002756
10000,100,99.9,24,10.24539094097138,2500.177838335267,29.819847441474973,6.522418448657361e-08,2500.000000000275
10000,100,99.9,28,9.440500769254312,2500.9768600612288,69.8945960739909,6.010009450757994e-08,2500.0000000002756
10000,100,99.9,34,8.454691198291039,2512.5053642126013,250.36614227111488,5.3824235860936416e-08,2500.0000000002756
10000,100,99.99,20,111.95837939505056,25000.33233468308,128.90634526800415,7.127491800519168e-08,24999.999999975
10000,100,99.99,24,102.45390940960004,25001.778383324916,298.1984744144187,6.522418448657361e-08,24999.999999974996
10000,100,99.99,28,94.40500769243828,25009.768600584513,698.9459607391328,6.010009450757994e-08,24999.999999974993
10000,100,99.99,34,84.54691198281651,25125.053642098115,2503.6614227083687,5.3824235860936416e-08,24999.999999974996
10000,160,95.0,20,0.13994797424395303,80.00041542006761,0.2578126905362659,2.7841764845778e-08,79.99999999999993
10000,160,95.0,24,0.12806738676212803,80.00222302736695,0.5963969488294332,2.5478197065067815e-08,79.99999999999993
10000,160,95.0,28,0.11800625961566581,80.01221220428873,1.3978919214796628,2.3476599417023417e-08,79.99999999999994
10000,160,95.0,34,0.10568363997862623,80.15655482914839,5.00732284542174,2.1025092133178286e-08,79.99999999999993
10000,160,99.0,20,0.6997398712197652,400.00207710033806,1.2890634526813296,2.7841764845778e-08,399.99999999999966
10000,160,99.0,24,0.6403369338106402,400.01111513683475,2.981984744147166,2.5478197065067815e-08,399.99999999999966
10000,160,99.0,28,0.590031298078329,400.06106102144355,6.989459607398313,2.3476599417023417e-08,399.99999999999966
10000,160,99.0,34,0.5284181998931311,400.7827741457419,25.0366142271087,2.1025092133178286e-08,399.9999999999996
10000,160,99.9,20,6.997398712198429,4000.0207710038244,12.890634526814726,2.7841764845778e-08,4000.0000000004407
10000,160,99.9,24,6.403369338107113,4000.1111513687915,29.81984744147497,2.5478197065067815e-08,4000.0000000004407
10000,160,99.9,28,5.900312980783945,4000.61061021488,69.8945960739909,2.3476599417023417e-08,4000.0000000004407
10000,160,99.9,34,5.284181998931897,4007.827741457864,250.36614227111477,2.1025092133178286e-08,4000.0000000004397
10000,160,99.99,20,69.97398712190659,40000.20770999383,128.90634526800412,2.7841764845778e-08,39999.99999995999
10000,160,99.99,24,64.03369338100003,40001.111513643504,298.1984744144186,2.5478197065067815e-08,39999.99999996
10000,160,99.99,28,59.00312980777395,40006.106102104386,698.945960739133,2.3476599417023417e-08,39999.999999960004
10000,160,99.99,34,52.841819989260316,40078.27741453415,2503.6614227083683,2.1025092133178286e-08,39999.99999996
10000,200,95.0,20,0.11195837939516243,100.00033233636469,0.25781269053626593,1.781872950129792e-08,99.99999999999991
10000,200,95.0,24,0.10245390940970242,100.00177843078869,0.5963969488294333,1.6306046121643403e-08,99.99999999999991
10000,200,95.0,28,0.09440500769253261,100.00977003185298,1.3978919214796626,1.5025023626894985e-08,99.99999999999989
10000,200,95.0,34,0.084546911982901,100.12528792507048,5.007322845421742,1.3456058965234104e-08,99.99999999999991
10000,200,99.0,20,0.5597918969758121,500.00166168182346,1.2890634526813296,1.781872950129792e-08,499.99999999999955
10000,200,99.0,24,0.5122695470485121,500.00889215394346,2.9819847441471667,1.6306046121643403e-08,499.99999999999955
10000,200,99.0,28,0.4720250384626631,500.04885015926493,6.989459607398312,1.5025023626894985e-08,499.9999999999995
10000,200,99.0,34,0.4227345599145049,500.62643962535236,25.036614227108704,1.3456058965234104e-08,499.9999999999995
10000,200,99.9,20,5.597918969758743,5000.01661681879,12.890634526814726,1.781872950129792e-08,5000.000000000551
10000,200,99.9,24,5.12269547048569,5000.088921539989,29.819847441474973,1.6306046121643403e-08,5000.00000000055
10000,200,99.9,28,4.720250384627156,5000.488501593205,69.8945960739909,1.5025023626894985e-08,5000.000000000551
10000,200,99.9,34,4.2273455991455196,5006.264396254081,250.36614227111488,1.3456058965234104e-08,5000.000000000551
10000,200,99.99,20,55.97918969752528,50000.16616813239,128.90634526800415,1.781872950129792e-08,49999.99999995
